certified_status,count_critic_review,count_user_review,critic_score,movie_name,user_score
Rotten,93,"User Ratings: 125,805",46%,Lake Placid,36%
Certified Fresh,133,"User Ratings: 262,488",93%,Being John Malkovich,87%
Certified Fresh,74,"User Ratings: 66,107",91%,October Sky,88%
Fresh,104,"User Ratings: 133,243",61%,Mystery Men,57%
Rotten,66,"User Ratings: 31,119",27%,Instinct,67%
Fresh,47,"User Ratings: 61,097",64%,EDtv,30%
Rotten,42,"User Ratings: 51,798",12%,My Favorite Martian,30%
DNE,N/A,Ratings: Not yet available,,The Bachelor,
DNE,N/A,Ratings: Not yet available,,Anna and the King,
Fresh,127,"User Ratings: 363,001",67%,Dogma,85%
Rotten,93,"User Ratings: 43,536",45%,For Love of the Game,75%
Certified Fresh,146,"User Ratings: 192,893",83%,Magnolia,89%
Certified Fresh,95,"User Ratings: 415,640",80%,"South Park: Bigger, Longer & Uncut",88%
Rotten,38,"User Ratings: 62,236",32%,Message in a Bottle,66%
Rotten,77,"User Ratings: 56,944",45%,Mickey Blue Eyes,42%
Rotten,54,"User Ratings: 122,815",41%,Varsity Blues,76%
Rotten,89,"User Ratings: 441,087",55%,Never Been Kissed,69%
Certified Fresh,136,"User Ratings: 59,161",96%,The Insider,90%
Fresh,75,"User Ratings: 32,104,911",68%,10 Things I Hate About You,69%
Rotten,88,"User Ratings: 117,944",33%,The 13th Warrior,65%
Rotten,87,"User Ratings: 9,819",15%,Random Hearts,24%
Rotten,61,"User Ratings: 393,157",41%,She's All That,55%
Fresh,25,"User Ratings: 22,783",88%,House On Haunted Hill,73%
Certified Fresh,88,"User Ratings: 52,187",98%,All About My Mother (Todo sobre mi madre),93%
Rotten,54,"User Ratings: 50,363",50%,Life,77%
DNE,N/A,Ratings: Not yet available,,Hurricane,
Rotten,114,"User Ratings: 436,324",54%,Cruel Intentions,81%
Rotten,97,"User Ratings: 359,459",36%,Bicentennial Man,58%
Fresh,112,"User Ratings: 53,485",71%,The Cider House Rules,77%
Rotten,90,"User Ratings: 93,540",22%,Stigmata,63%
Certified Fresh,122,"User Ratings: 224,198",89%,Galaxy Quest,79%
Rotten,76,"User Ratings: 382,296",22%,Deuce Bigalow: Male Gigolo,42%
Rotten,66,"User Ratings: 57,621",45%,Forces of Nature,35%
Rotten,82,"User Ratings: 137,872",22%,8MM,52%
Rotten,63,"User Ratings: 275,603",21%,Inspector Gadget,18%
Certified Fresh,111,"User Ratings: 74,159",81%,Bowfinger,61%
Rotten,123,"User Ratings: 138,915",52%,Any Given Sunday,73%
Certified Fresh,172,"User Ratings: 1,092,873",78%,Fight Club,96%
Certified Fresh,156,"User Ratings: 192,534",75%,Eyes Wide Shut,73%
Certified Fresh,129,"User Ratings: 186,103",94%,Three Kings,77%
Rotten,69,"User Ratings: 201,559",36%,Blue Streak,65%
Fresh,32,"User Ratings: 9,743",78%,The Thomas Crown Affair,74%
Certified Fresh,132,"User Ratings: 131,634",83%,The Talented Mr. Ripley,80%
Rotten,89,"User Ratings: 52,764",21%,The General's Daughter,46%
Certified Fresh,109,"User Ratings: 221,983",93%,Princess Mononoke (Mononoke-hime),94%
Rotten,85,"User Ratings: 218,645",28%,The Bone Collector,63%
DNE,N/A,Ratings: Not yet available,,Payback,
Fresh,106,"User Ratings: 224,582",69%,Analyze This,62%
DNE,N/A,User Ratings: 50,,Double Jeopardy,33%
Fresh,127,"User Ratings: 606,961",68%,Sleepy Hollow,80%
Rotten,82,"User Ratings: 204,756",38%,Entrapment,50%
Rotten,102,"User Ratings: 131,183",11%,End of Days,32%
Rotten,131,"User Ratings: 464,271",17%,Wild Wild West,28%
Rotten,94,"User Ratings: 1,052,152",39%,Big Daddy,74%
Fresh,128,"User Ratings: 33,781,574",61%,American Pie,61%
Certified Fresh,160,"User Ratings: 401,867",87%,The Blair Witch Project,56%
Certified Fresh,134,"User Ratings: 813,570",78%,The Green Mile,94%
Fresh,97,"User Ratings: 495,272",67%,Stuart Little,41%
Rotten,87,"User Ratings: 437,976",46%,Runaway Bride,53%
