certified_status,count_critic_review,count_user_review,critic_score,movie_name,user_score
Rotten,63,"User Ratings: 131,932",52%,Basic Instinct,63%
Rotten,54,"User Ratings: 909,484",33%,Home Alone 2: Lost in New York,61%
DNE,N/A,User Ratings: 21,,Bodyguard,50%
Rotten,362,"Verified Ratings: 59,044",57%,Aladdin,94%
Fresh,34,"User Ratings: 3,255",65%,A Rage in Harlem,51%
Rotten,16,"User Ratings: 7,116",38%,Career Opportunities,37%
Rotten,9,"User Ratings: 6,946",0%,The Super,43%
Rotten,13,"User Ratings: 6,769",15%,One Good Cop,31%
DNE,N/A,"User Ratings: 14,051",,Shattered (Butterfly on a Wheel),61%
Rotten,7,"User Ratings: 1,678",29%,Year of the Gun,25%
Rotten,21,"User Ratings: 2,928",10%,The Marrying Man,45%
Rotten,34,"User Ratings: 198,495",9%,Drop Dead Fred,77%
DNE,N/A,User Ratings: 36,,Commitments,75%
Rotten,11,"User Ratings: 2,593",45%,The Perfect Weapon,65%
Rotten,6,"User Ratings: 48,896",17%,Ernest Scared Stupid,50%
Rotten,12,"User Ratings: 5,975",25%,The Flight of the Intruder,50%
Rotten,16,"User Ratings: 16,106",50%,Not Without My Daughter,71%
DNE,N/A,Ratings: Not yet available,,All I Want for Christmas,
Fresh,20,"User Ratings: 3,523",70%,Once Around,73%
DNE,N/A,Ratings: Not yet available,,Switch,
Rotten,24,"User Ratings: 5,891",38%,Billy Bathgate,28%
Fresh,32,"User Ratings: 9,955",97%,Defending Your Life,83%
Rotten,35,"User Ratings: 44,223",29%,Hudson Hawk,56%
Rotten,14,"User Ratings: 7,530",43%,For the Boys,75%
DNE,N/A,Ratings: Not yet available,,Paradise,
Rotten,14,"User Ratings: 6,517",57%,Mortal Thoughts,35%
Rotten,14,"User Ratings: 19,768",21%,House Party 2,66%
Rotten,14,"User Ratings: 82,606",29%,Child's Play 3,33%
Rotten,13,"User Ratings: 338,602",54%,An American Tail - Fievel Goes West,62%
Rotten,32,"User Ratings: 10,313",6%,Mobsters,57%
Fresh,22,"User Ratings: 8,402",64%,Only the Lonely,50%
Rotten,11,"User Ratings: 6,524",9%,Pure Luck,61%
DNE,N/A,Ratings: Not yet available,,Frankie and Johnnie,
Fresh,26,"User Ratings: 44,465",62%,The People Under The Stairs,58%
Fresh,26,"User Ratings: 14,919",73%,Little Man Tate,66%
Rotten,27,"User Ratings: 26,020",7%,Problem Child 2,42%
Rotten,28,"User Ratings: 131,054",36%,Don't Tell Mom the Babysitter's Dead,56%
Rotten,30,"User Ratings: 9,513",33%,Necessary Roughness,46%
Rotten,18,"User Ratings: 3,743",39%,Deceived,42%
Fresh,29,"User Ratings: 9,334",86%,Madonna: Truth or Dare,70%
Rotten,20,"User Ratings: 48,782",35%,Double Impact,42%
Certified Fresh,48,"User Ratings: 15,671",81%,Jungle Fever,67%
Rotten,11,"User Ratings: 19,600",27%,King Ralph,27%
Rotten,15,"User Ratings: 49,659",13%,Curly Sue,50%
Rotten,61,"User Ratings: 60,614",57%,The Doors,79%
DNE,N/A,User Ratings: 34,,White Fang (Zanna Bianca),14%
Rotten,30,"User Ratings: 73,186",20%,Freddy's Dead: The Final Nightmare,33%
Rotten,16,"User Ratings: 5,965",31%,Other People's Money,46%
Fresh,36,"User Ratings: 8,828",69%,Soapdish,63%
DNE,N/A,Ratings: Not yet available,,Doctor,
Rotten,50,"User Ratings: 230,386",54%,Bill & Ted's Bogus Journey,56%
Certified Fresh,47,"User Ratings: 11,912",83%,Dead Again,77%
Rotten,22,"User Ratings: 20,781",23%,Out for Justice,53%
Certified Fresh,60,"User Ratings: 45,766",83%,The Fisher King,86%
Rotten,29,"User Ratings: 21,197",41%,Regarding Henry,63%
Certified Fresh,67,"User Ratings: 170,113",84%,Thelma & Louise,82%
Fresh,62,"User Ratings: 57,422",65%,The Rocketeer,65%
Fresh,30,"User Ratings: 45,316",77%,New Jack City,80%
Certified Fresh,60,"User Ratings: 10,205",85%,Bugsy,69%
Fresh,34,"User Ratings: 43,899",68%,Doc Hollywood,50%
Certified Fresh,69,"User Ratings: 144,200",96%,Boyz n the Hood,93%
Rotten,35,"User Ratings: 60,217",46%,The Last Boy Scout,68%
Certified Fresh,43,"User Ratings: 119,227",84%,What About Bob?,79%
Fresh,20,"User Ratings: 11,216",75%,The Hard Way,53%
DNE,N/A,User Ratings: 591,,Antarctica (Nankyoku Monogatari),89%
Fresh,32,"User Ratings: 9,222",69%,The Prince of Tides,70%
Fresh,42,"User Ratings: 134,886",74%,Fried Green Tomatoes,91%
Rotten,39,"User Ratings: 29,592",23%,Dying Young,65%
Fresh,59,"User Ratings: 133,569",69%,Point Break,79%
Certified Fresh,55,"User Ratings: 63,094",82%,Star Trek VI - The Undiscovered Country,83%
Fresh,33,"User Ratings: 161,041",88%,City Slickers,64%
Fresh,46,"User Ratings: 204,053",74%,Backdraft,75%
Rotten,35,"User Ratings: 63,819",20%,Sleeping with the Enemy,61%
DNE,N/A,Ratings: Not yet available,,Hot Shots,
Fresh,47,"User Ratings: 315,180",64%,The Addams Family,66%
Certified Fresh,97,"User Ratings: 846,669",96%,The Silence of the Lambs,95%
Rotten,64,"User Ratings: 731,120",28%,Hook,76%
Rotten,53,"User Ratings: 334,710",51%,Robin Hood: Prince of Thieves,72%
DNE,N/A,Ratings: Not yet available,,Beauty and the Beast (Panna a netvor),
Certified Fresh,81,"User Ratings: 748,722",93%,Terminator 2: Judgment Day,94%
Fresh,19,"User Ratings: 6,197",68%,The Two Jakes,38%
Rotten,20,"User Ratings: 8,421",45%,Nuns on the Run,53%
Rotten,28,"User Ratings: 8,204",7%,Wild Orchid,44%
Rotten,8,"User Ratings: 3,983",13%,Opportunity Knocks,47%
Fresh,35,"User Ratings: 35,469",80%,Pump Up the Volume,84%
Rotten,8,"User Ratings: 9,915",13%,Stephen King's 'Graveyard Shift',22%
Fresh,17,"User Ratings: 4,206",71%,Bad Influence,51%
Certified Fresh,42,"User Ratings: 10,997",90%,The Grifters,70%
Rotten,19,"User Ratings: 4,855",37%,Crazy People,62%
DNE,N/A,Ratings: Not yet available,,Long Walk Home,
Fresh,19,"User Ratings: 54,296",63%,Lord of the Flies,52%
Fresh,49,"User Ratings: 43,405",65%,Wild At Heart,81%
Rotten,21,"User Ratings: 6,837",10%,Fire Birds,36%
Rotten,12,"User Ratings: 6,570",8%,Spaced Invaders,51%
Fresh,33,"User Ratings: 8,948",82%,Quick Change,71%
Rotten,16,"User Ratings: 9,087",38%,Mr. Destiny,56%
DNE,N/A,"User Ratings: 13,383",,Death Warrant,35%
Rotten,51,"User Ratings: 12,129",16%,The Bonfire of the Vanities,26%
Fresh,35,"User Ratings: 5,448",94%,Reversal of Fortune,77%
Rotten,6,User Ratings: 14,0%,Revenge,12%
Rotten,25,"User Ratings: 9,206",56%,Love You to Death,63%
Fresh,5,"User Ratings: 8,702",80%,Avalon,73%
Rotten,149,"User Ratings: 423,082",37%,The Guardian,80%
Fresh,33,"User Ratings: 9,403",73%,Mo' Better Blues,75%
Rotten,18,"User Ratings: 9,304",39%,Tales from the Darkside: The Movie,44%
Certified Fresh,42,"User Ratings: 240,048",88%,Tremors,75%
Fresh,18,"User Ratings: 4,766",61%,White Palace,62%
DNE,N/A,Ratings: Not yet available,,Sibling Rivalry,
Fresh,8,"User Ratings: 49,986",88%,DuckTales: The Movie - Treasure of the Lost Lamp,69%
Rotten,15,"User Ratings: 25,921",27%,The Jetsons,45%
Rotten,10,"User Ratings: 6,858",50%,Betsy's Wedding,40%
Rotten,14,"User Ratings: 6,296",29%,Taking Care of Business,52%
Rotten,5,"User Ratings: 5,994",20%,Stella,77%
Rotten,29,"User Ratings: 8,550",28%,The Adventures of Ford Fairlane,68%
DNE,N/A,User Ratings: 170,,Madhouse,24%
Certified Fresh,46,"User Ratings: 11,839",93%,The Freshman,61%
Rotten,9,"User Ratings: 5,885",22%,The First Power,45%
Fresh,15,"User Ratings: 20,694",60%,Quigley Down Under,74%
Fresh,6,User Ratings: 533,100%,Hamlet,91%
Fresh,17,"User Ratings: 7,948",76%,The Russia House,50%
Rotten,31,"User Ratings: 36,552",6%,Ghost Dad,32%
Fresh,21,"User Ratings: 7,866",62%,Henry & June,69%
Fresh,17,"User Ratings: 16,774",71%,My Blue Heaven,59%
Rotten,8,"User Ratings: 42,686",13%,Ernest Goes to Jail,48%
Fresh,65,"User Ratings: 53,018",72%,Jacob's Ladder,84%
Fresh,28,"User Ratings: 38,548",93%,House Party,82%
Rotten,11,"User Ratings: 9,382",55%,Cadillac Man,31%
DNE,N/A,"User Ratings: 1,685",,The Memphis Belle: A Story of a Flying Fortress,81%
Fresh,25,"User Ratings: 7,925",88%,Internal Affairs,59%
Rotten,24,"User Ratings: 8,875",46%,Pacific Heights,46%
Fresh,30,"User Ratings: 26,270",60%,Green Card,50%
Rotten,15,"User Ratings: 48,347",13%,Air America,35%
Certified Fresh,61,"User Ratings: 53,221",84%,Darkman,58%
Rotten,16,"User Ratings: 125,715",44%,Child's Play 2,47%
Fresh,22,"User Ratings: 51,444",73%,Mermaids,70%
Fresh,31,"User Ratings: 8,777",84%,Postcards from the Edge,66%
Fresh,30,"User Ratings: 49,935",63%,Joe Versus the Volcano,54%
Fresh,45,"User Ratings: 268,179",69%,Gremlins 2: The New Batch,57%
Rotten,9,"User Ratings: 19,526",22%,Marked for Death,50%
Rotten,36,"User Ratings: 89,949",31%,Robocop 2,36%
Rotten,15,"User Ratings: 196,708",13%,"Look Who's Talking, Too",32%
Certified Fresh,96,"User Ratings: 429,323",96%,GoodFellas,97%
Rotten,13,"User Ratings: 44,902",38%,Hard to Kill,47%
Fresh,26,"User Ratings: 81,954",69%,The Rescuers Down Under,68%
Fresh,37,"User Ratings: 225,716",92%,Arachnophobia,54%
Certified Fresh,59,"User Ratings: 1,032,807",90%,Edward Scissorhands,91%
Rotten,28,"User Ratings: 139,080",29%,Predator 2,44%
Certified Fresh,67,"User Ratings: 177,829",90%,Misery,89%
Rotten,44,"User Ratings: 62,894",48%,Flatliners,59%
Fresh,60,"User Ratings: 305,819",68%,"The Godfather, Part III",78%
Rotten,29,"User Ratings: 55,962",0%,Problem Child,41%
Rotten,35,"User Ratings: 268,137",29%,Rocky V,31%
Rotten,22,"User Ratings: 57,327",32%,Bird on a Wire,40%
Rotten,28,"User Ratings: 59,427",18%,Another 48 Hrs.,35%
Rotten,62,"User Ratings: 132,411",39%,Days of Thunder,60%
Certified Fresh,70,"User Ratings: 172,603",89%,The Hunt for Red October,88%
Rotten,119,"User Ratings: 368,196",35%,TMNT,60%
Rotten,36,"User Ratings: 328,665",50%,Kindergarten Cop,51%
Certified Fresh,55,"User Ratings: 23,048",87%,Presumed Innocent,67%
Fresh,63,"User Ratings: 414,796",68%,Die Hard 2,70%
Certified Fresh,68,"User Ratings: 244,519",82%,Total Recall,78%
Certified Fresh,75,"User Ratings: 213,638",83%,Dances With Wolves,87%
Fresh,67,"User Ratings: 32,709,375",63%,Pretty Woman,68%
Fresh,54,"User Ratings: 1,026,628",65%,Home Alone,80%
DNE,N/A,User Ratings: 59,,Ghost,53%
Rotten,15,"User Ratings: 28,358",20%,Masters of the Universe 2: Cyborg,30%
Rotten,7,"User Ratings: 1,279",43%,Sing,89%
Fresh,14,"User Ratings: 4,252",64%,The Package,43%
Fresh,24,"User Ratings: 9,742",75%,New York Stories,56%
Rotten,11,"User Ratings: 18,618",27%,Who's Harry Crumb?,46%
Rotten,16,"User Ratings: 7,788",38%,Family Business,27%
Rotten,10,"User Ratings: 5,554",30%,Gross Anatomy,53%
Rotten,33,"User Ratings: 12,129",36%,Young Einstein,50%
Rotten,7,"User Ratings: 42,898",0%,Police Academy 6 - City Under Siege,28%
Rotten,24,"User Ratings: 65,675",13%,Halloween 5: The Revenge of Michael Myers,37%
Rotten,18,"User Ratings: 1,386",22%,Physical Evidence,12%
Rotten,19,"User Ratings: 6,515",11%,She's Out of Control,52%
Rotten,19,"User Ratings: 9,253",21%,Pink Cadillac,25%
Fresh,24,"User Ratings: 26,077",63%,Great Balls of Fire,53%
Rotten,21,"User Ratings: 20,449",29%,The Wizard,60%
DNE,N/A,Ratings: Not yet available,,Kickboxer,
Rotten,23,"User Ratings: 9,081",17%,Leviathan,26%
Fresh,30,"User Ratings: 8,948",67%,Chances Are,65%
Rotten,9,"User Ratings: 9,634",56%,Next of Kin,45%
Rotten,19,"User Ratings: 8,593",11%,No Holds Barred,34%
Fresh,24,"User Ratings: 8,390",67%,Prancer,58%
Rotten,21,"User Ratings: 11,845",24%,Shocker,30%
Rotten,23,"User Ratings: 6,903",17%,Her Alibi,43%
Fresh,26,"User Ratings: 10,100",96%,The Fabulous Baker Boys,69%
Certified Fresh,45,"User Ratings: 23,688",93%,Crimes and Misdemeanors,91%
Certified Fresh,45,"User Ratings: 21,789",84%,Casualties of War,75%
DNE,N/A,Ratings: Not yet available,,Skin Deep,
Fresh,10,"User Ratings: 2,115",80%,Blaze,47%
Rotten,8,"User Ratings: 8,037",38%,An Innocent Man,46%
Rotten,16,"User Ratings: 21,830",25%,The Fly II,23%
Fresh,10,"User Ratings: 4,764",60%,Dad,61%
Certified Fresh,45,"User Ratings: 138,729",98%,Say Anything...,85%
Rotten,8,"User Ratings: 3,621",50%,Cousins,67%
DNE,N/A,Ratings: Not yet available,,Lock Up,
Certified Fresh,83,"User Ratings: 73,590",93%,Do the Right Thing,90%
Rotten,18,"User Ratings: 404,384",44%,All Dogs Go To Heaven,63%
DNE,N/A,Ratings: Not yet available,,Glory,
Fresh,16,"User Ratings: 41,442",69%,Lean on Me,85%
Rotten,24,"User Ratings: 56,899",54%,Weekend at Bernie's,57%
Rotten,30,"User Ratings: 17,397",37%,Fletch Lives,54%
Rotten,46,"User Ratings: 58,565",22%,Star Trek V - The Final Frontier,24%
Rotten,29,"User Ratings: 189,979",52%,Turner and Hooch,51%
Fresh,38,"User Ratings: 222,418",66%,National Lampoon's Christmas Vacation,86%
Fresh,24,"User Ratings: 22,757",67%,Always,60%
Fresh,39,"User Ratings: 40,808",85%,The War of the Roses,71%
Certified Fresh,71,"User Ratings: 395,943",90%,When Harry Met Sally,89%
Fresh,30,"User Ratings: 175,800",70%,Steel Magnolias,89%
Rotten,34,"User Ratings: 34,441",21%,Harlem Nights,80%
Certified Fresh,64,"User Ratings: 53,686",81%,Driving Miss Daisy,81%
Certified Fresh,55,"User Ratings: 49,313",91%,Parenthood,76%
Rotten,21,"User Ratings: 27,776",52%,Black Rain,55%
Certified Fresh,56,"User Ratings: 63,965",77%,Licence To Kill,61%
Fresh,32,"User Ratings: 696,398",75%,"Honey, I Shrunk the Kids",54%
Fresh,37,"User Ratings: 250,744",84%,Lethal Weapon 2,77%
Certified Fresh,57,"User Ratings: 307,004",84%,Dead Poets Society,92%
Rotten,35,"User Ratings: 250,626",57%,Look Who's Talking,47%
Certified Fresh,69,"User Ratings: 768,300",88%,Indiana Jones and the Last Crusade,94%
Fresh,36,"User Ratings: 16,825",78%,Circle of Friends,73%
Rotten,12,"User Ratings: 14,968",0%,Jury Duty,26%
Certified Fresh,74,"User Ratings: 257,014",91%,James and the Giant Peach,66%
Rotten,66,"User Ratings: 49,552",29%,Snow Day,27%
Rotten,107,"User Ratings: 436,856",42%,Dr. Dolittle 2,26%
Fresh,159,"User Ratings: 300,818",72%,Training Day,89%
Fresh,150,"User Ratings: 68,278",69%,Treasure Planet,71%
